[01,01], {00010}, Rat
[01,02], {00010}, Rat
[01,03], {00010}, Rat
[01,04], {00010}, Rat
[01,05], {00010}, Rat
[01,06], {00010}, Rat
[01,07], {00010}, Rat
[01,08], {00010}, Rat
[01,09], {00010}, Rat
[01,10], {00010}, Rat
[01,11], {00010}, Rat
[01,12], {00010}, Rat
[02,01], {00010}, Rat
[02,02], {00010}, Rat
[02,03], {00010}, Rat
[02,04], {00010}, Rat
[02,05], {00010}, Rat
[02,06], {00010}, Rat
[02,07], {00010}, Rat
[02,08], {00010}, Rat
[02,09], {00010}, Rat
[02,10], {00010}, Rat
[02,11], {00010}, Rat
[02,12], {00010}, Rat
[03,01], {00010}, Rat
[03,02], {00010}, Rat
[03,03], {00010}, Rat
[03,04], {00010}, Rat
[03,05], {00010}, Rat
[03,06], {00010}, Rat
[03,07], {00010}, Rat
[03,08], {00010}, Rat
[03,09], {00010}, Rat
[03,10], {00010}, Rat
[03,11], {00010}, Rat
[03,12], {00010}, Rat
[04,01], {00010}, Rat
[04,02], {00010}, Rat
[04,03], {00010}, Rat
[04,04], {00010}, Rat
[04,05], {00010}, Rat
[04,06], {00010}, Rat
[04,07], {00010}, Rat
[04,08], {00010}, Rat
[04,09], {00010}, Rat
[04,10], {00010}, Rat
[04,11], {00010}, Rat
[04,12], {00010}, Rat
[05,01], {00010}, Rat
[05,02], {00010}, Rat
[05,03], {00010}, Rat
[05,04], {00010}, Rat
[05,05], {00010}, Rat
[05,06], {00010}, Rat
[05,07], {00010}, Rat
[05,08], {00010}, Rat
[05,09], {00010}, Rat
[05,10], {00010}, Rat
[05,11], {00010}, Rat
[05,12], {00010}, Rat
[06,01], {00010}, Rat
[06,02], {00010}, Rat
[06,03], {00010}, Rat
[06,04], {00010}, Rat
[06,05], {00010}, Rat
[06,06], {00010}, Rat
[06,07], {00010}, Rat
[06,08], {00010}, Rat
[06,09], {00010}, Rat
[06,10], {00010}, Rat
[06,11], {00010}, Rat
[06,12], {00010}, Rat
[07,01], {00010}, Rat
[07,02], {00010}, Rat
[07,03], {00010}, Rat
[07,04], {00010}, Rat
[07,05], {00010}, Rat
[07,06], {00010}, Rat
[07,07], {00010}, Rat
[07,08], {00010}, Rat
[07,09], {00010}, Rat
[07,10], {00010}, Rat
[07,11], {00010}, Rat
[07,12], {00010}, Rat
[08,01], {00010}, Rat
[08,02], {00010}, Rat
[08,03], {00010}, Rat
[08,04], {00010}, Rat
[08,05], {00010}, Rat
[08,06], {00010}, Rat
[08,07], {00010}, Rat
[08,08], {00010}, Rat
[08,09], {00010}, Rat
[08,10], {00010}, Rat
[08,11], {00010}, Rat
[08,12], {00010}, Rat
